county,name,cbsa,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,res_density,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,intersection_density,avg_block_perimeter_meters,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu,registed_car,2020_car,2021_car,2022_car,2023_car,2024_car,2025_car
"""13249""","""Schley""","""Americus, GA""",3.0,5221.0,1864.0,106821.32,71,87,46,32,40,19,40,48,27,11.15,0.27,2.01,2,2,25352,24424,27415,0,0,0,15088,14508,17071,11385,10941,13067,3698,3563,3998,5,5,6,6,6,7,1.3,0.3,0.25,0.02,1733,60,1444,88,292,4,4228,1006,1149,653,76,24,3746.6399999999994,3827.1421297297293,3909.3739673820305,3993.372678302807,4079.176226390665,4166.823391255005,4256.353785742782
"""13251""","""Screven""","""""",14.0,13989.0,5098.0,413293.09,66,80,44,29,36,18,37,44,26,10.11,0.49,1.97,2,2,24375,23497,25579,0,0,0,14749,14132,16433,11187,10699,12697,3556,3428,3730,6,6,6,7,7,8,1.4,0.8,0.18,0.01,1462,57,1352,87,234,6,4164,955,1102,489,80,20,10043.06,10258.850072972973,10479.276716432798,10704.439553988585,10934.440349810773,11169.383054624275,11409.373852689852
"""13253""","""Seminole""","""""",9.0,8321.0,3363.0,152022.74,71,86,42,30,37,16,41,49,26,9.27,0.54,1.84,2,2,22105,21107,24816,0,0,0,13651,12997,16140,10421,9913,12515,3225,3079,3619,5,5,5,6,6,7,1.4,0.4,0.23,0.02,1299,63,1240,87,212,6,4796,832,898,700,74,26,6187.92,6320.87665945946,6456.690090385684,6595.421674760188,6737.134113447602,6881.891454533842,7029.759122273151
"""13255""","""Spalding""","""Atlanta-Sandy Springs-Alpharetta, GA""",35.0,65306.0,24336.0,125435.47,41,50,44,18,23,20,23,27,24,8.68,3.72,2.03,2,2,22366,21821,21866,1,1,1,15432,14969,15125,12160,11775,11925,3262,3182,3189,11,11,10,14,14,13,1.6,2.7,0.56,0.19,5757,78,6472,84,79,19,2586,1029,1012,845,67,33,49402.079999999994,50463.557124324325,51547.84166253616,52655.42366582579,53786.80371486178,54942.49314603246,56123.01428254857
"""13257""","""Stephens""","""Toccoa, GA""",18.0,25750.0,9543.0,114655.95,57,69,44,26,32,19,31,36,25,8.7,1.84,1.94,2,2,21864,21104,22651,0,0,0,14806,13667,15449,11609,10580,12138,3188,3079,3303,8,8,8,10,10,10,2.2,1.5,0.32,0.08,3171,65,3291,86,74,19,2544,1018,1108,636,76,24,18513.42,18911.208348648648,19317.54377127502,19732.60991446863,20156.594370738974,20589.688763299448,21032.088832673046
"""13259""","""Stewart""","""Columbus, GA-AL""",5.0,6293.0,1816.0,293598.56,55,65,43,22,27,16,33,38,26,9.29,0.08,2.02,2,2,24742,24024,25676,0,0,0,15717,14445,16544,12103,10935,12794,3608,3505,3744,6,6,6,7,7,8,1.3,0.6,0.54,0.01,1352,63,1313,87,306,4,4175,853,1014,417,79,21,3668.32,3747.1393081081087,3827.652166214756,3909.8949627591,3993.9048680400056,4079.71985101546,4167.378696462954
"""13261""","""Sumter""","""Americus, GA""",26.0,30064.0,11510.0,309040.95,62,76,41,28,35,17,34,41,24,8.14,2.98,1.78,2,2,20359,19449,22339,0,0,0,13099,12506,15015,10123,9662,11751,2970,2837,3258,6,6,6,8,8,8,1.4,1.2,0.5,0.04,2590,63,2776,86,148,5,4627,882,942,704,62,38,20487.8,20928.01083783784,21377.680259894085,21837.011497910727,22306.21215036584,22785.494276299378,23275.074491155003
"""13263""","""Talbot""","""Columbus, GA-AL""",6.0,6321.0,2809.0,250481.14,60,72,47,26,33,20,34,39,27,10.16,0.13,2.07,2,2,26052,25366,26931,0,0,0,16180,14952,16938,12374,11245,13003,3799,3700,3927,7,7,7,8,8,9,1.2,0.8,0.24,0.01,1908,63,1593,87,319,4,4307,1043,1175,485,83,17,5814.629999999999,5939.565968918919,6067.18637284569,6197.548890856834,6330.712441349569,6466.737208670459,6605.684670316217
"""13265""","""Taliaferro""","""""",3.0,1611.0,593.0,124548.59,69,84,44,29,37,17,40,47,27,10.24,0.05,1.97,2,2,25105,24169,26359,0,0,0,14850,14193,16698,11182,10661,12847,3662,3526,3844,6,6,6,8,7,8,1.7,0.7,0.15,0.0,1492,55,1486,87,270,4,4172,916,1073,546,82,18,1168.21,1193.3107283783784,1218.95078321786,1245.1417527491626,1271.8954741933678,1299.2240391118469,1327.1397988711421
"""13267""","""Tattnall""","""""",16.0,25382.0,8241.0,307726.59,59,72,42,26,33,17,33,39,25,7.95,0.72,1.83,2,2,20486,19726,22766,0,0,0,13402,12814,15450,10408,9931,12125,2988,2878,3320,5,5,6,7,7,7,2.4,0.7,0.3,0.03,1725,58,1537,87,125,9,3247,891,1070,518,73,27,15081.03,15405.0683472973,15736.069140164904,16074.181977095475,16419.55967092766,16772.35831791111,17132.737368255417
"""13269""","""Taylor""","""""",7.0,8116.0,3473.0,241078.87,69,84,41,29,36,16,40,48,26,9.24,0.2,1.82,2,2,22340,21549,25161,0,0,0,13607,12999,16178,10342,9850,12502,3259,3144,3669,6,5,7,7,7,8,2.2,0.8,0.28,0.01,1775,54,1548,87,234,4,3969,816,879,617,77,23,6320.860000000001,6456.673072972974,6595.404291703069,6737.116356889663,6881.87331644986,7029.740594465472,7180.7850207519605
"""13271""","""Telfair""","""""",10.0,16035.0,4668.0,279876.34,65,79,37,22,28,11,43,51,26,9.5,1.18,1.88,2,2,22896,21717,24957,0,0,0,14027,13333,16286,10681,10159,12641,3340,3168,3640,5,5,5,7,6,7,1.0,0.4,0.58,0.02,1550,63,1517,87,227,5,5080,598,537,547,78,22,8775.84,8964.401967567568,9157.015469303142,9353.767558440872,9554.747158683049,9760.045104389888,9969.754181632861
"""13273""","""Terrell""","""Albany, GA""",10.0,8737.0,3399.0,214872.55,53,65,40,22,27,15,32,38,25,8.71,1.19,1.91,2,2,22848,21960,24127,0,0,0,14167,13572,15648,10829,10363,12125,3333,3204,3518,5,5,5,6,6,6,1.0,0.5,0.51,0.02,1568,73,1420,87,207,4,4085,810,837,645,63,37,6492.09,6631.582204054054,6774.071605465487,6919.622603474813,7068.300981035962,7220.173934547411,7375.310104222146
"""13275""","""Thomas""","""Thomasville, GA""",36.0,44630.0,17595.0,348558.14,62,76,46,30,37,21,32,39,25,9.09,2.74,1.92,2,2,22197,21356,23682,0,0,0,14154,13602,15727,10910,10480,12267,3238,3115,3454,6,6,7,8,8,8,1.2,1.2,0.42,0.05,2950,68,4501,86,142,9,3676,1092,1186,757,67,33,33782.4,34508.26508108108,35249.72645241783,36007.11922349005,36780.785704102884,37571.07555909645,38378.34596637974
"""13277""","""Tift""","""Tifton, GA""",31.0,40541.0,15144.0,166968.78,55,67,42,25,32,18,30,36,24,8.19,3.64,1.85,2,2,20202,19412,21326,0,0,0,13473,12971,14791,10519,10132,11673,2947,2832,3110,7,7,7,9,9,9,2.3,2.1,0.48,0.09,3573,61,4947,85,63,16,2794,959,1018,678,64,36,28016.4,28618.374000000003,29233.28230621622,29861.402831444382,30503.019459849744,31158.42217527084,31827.907192280043
"""13279""","""Toombs""","""Vidalia, GA""",24.0,26972.0,10030.0,232965.32,59,71,40,25,31,16,34,41,24,7.81,1.78,1.87,2,2,21410,20460,22745,0,0,0,13736,13138,15330,10607,10147,12007,3123,2985,3317,6,6,6,7,7,7,1.7,1.0,0.29,0.04,2158,61,2865,86,129,8,4367,834,918,551,67,33,18756.100000000002,19159.102689189192,19570.764490213664,19991.27145696285,20420.81364097057,20859.585177310342,21307.784372336337
"""13281""","""Towns""","""""",8.0,11617.0,4898.0,106505.41,59,71,47,28,35,22,31,36,26,9.3,0.64,1.95,2,2,22250,21780,24247,0,0,0,14919,13799,16192,11667,10615,12648,3245,3177,3536,7,7,8,9,9,10,1.1,1.7,0.37,0.05,2440,79,2276,85,125,14,2520,1127,1246,687,87,13,9551.1,9756.319581081081,9965.948609917825,10180.081830049843,10398.816020722537,10622.250040627252,10850.48487258127
"""13283""","""Treutlen""","""Dublin, GA""",7.0,6795.0,2490.0,127636.99,60,72,40,23,28,14,37,44,26,9.26,0.43,1.92,2,2,23603,22610,24969,0,0,0,14355,13697,16117,10907,10393,12470,3443,3298,3641,6,5,6,7,7,7,2.0,0.6,0.52,0.02,1411,59,1157,87,185,6,3649,742,831,564,74,26,4780.8,4883.522594594595,4988.452336829803,5095.636650553579,5205.123978585744,5316.9638046121145,5431.2066755490505
"""13285""","""Troup""","""LaGrange, GA-AL""",41.0,69919.0,24928.0,264964.38,60,74,45,28,35,20,32,38,25,8.83,3.33,1.92,2,2,22015,21146,23027,0,0,0,14126,13589,15450,10906,10496,12084,3212,3085,3358,8,8,7,9,9,9,1.1,1.6,0.39,0.09,4024,73,5122,85,107,10,3982,1046,1140,842,63,37,47861.759999999995,48890.141059459456,49940.61841465595,51013.666837349236,52109.77130047607,53229.42719733765,54373.14056549667
"""13287""","""Turner""","""""",9.0,7943.0,3169.0,182665.49,63,77,41,26,32,15,38,45,26,8.03,0.51,1.89,2,2,21652,20716,24131,0,0,0,13890,13280,16106,10727,10253,12582,3159,3022,3519,5,5,5,6,6,6,1.2,0.3,0.37,0.02,1554,69,1322,88,114,6,3416,795,979,298,75,25,5989.41,6118.101377027027,6249.5578795874735,6383.838920513745,6521.005189211271,6661.118679087567,6804.2427155706655
"""13289""","""Twiggs""","""Macon-Bibb County, GA""",8.0,8229.0,3044.0,229925.79,58,71,44,23,29,17,35,42,27,10.46,0.19,2.06,2,2,25361,24642,26427,0,0,0,15395,14775,16984,11688,11173,13123,3700,3595,3854,7,7,7,9,8,9,1.0,0.8,0.23,0.01,2006,67,2082,87,270,8,4077,868,1033,176,85,15,6270.64,6405.374021621622,6543.003003978088,6683.589149604103,6827.1959975483005,6973.888452090217,7123.732812074318
"""13291""","""Union""","""""",14.0,23288.0,9743.0,206167.62,56,67,46,25,31,20,31,35,26,9.58,0.75,2.01,2,2,23061,22529,24569,0,0,0,15367,14202,16366,11997,10908,12775,3363,3287,3583,8,7,8,9,9,10,0.8,1.4,0.16,0.05,2751,82,2549,86,143,14,3101,1035,1135,634,84,16,19583.429999999997,20004.20910405405,20434.02927264116,20873.084766472235,21321.574020238328,21779.699732294805,22247.66895627249
"""13293""","""Upson""","""Thomaston, GA""",21.0,26236.0,10154.0,207018.36,63,77,41,27,34,16,36,43,25,8.53,1.7,1.84,2,2,21256,20438,22920,0,0,0,13532,12955,15404,10423,9966,12054,3101,2982,3343,8,8,8,9,9,10,1.2,2.1,0.32,0.05,2926,73,2948,85,128,7,4150,845,874,622,73,27,18683.36,19084.799762162165,19494.865054349164,19913.741208895313,20341.617540275634,20778.687430668044,21225.148417354023
"""13295""","""Walker""","""Chattanooga, TN-GA""",46.0,69039.0,25975.0,285689.28,49,59,42,21,26,18,28,33,25,8.96,3.05,1.97,2,2,21833,21266,22613,1,1,1,14955,13884,15480,11770,10781,12182,3184,3102,3298,1,1,1,1,1,1,1.2,2.6,0.25,0.09,5083,77,4834,84,83,12,3295,932,1014,606,76,24,51170.75,52270.22962837838,53393.333210934084,54540.56834343929,55712.4535281159,56909.51840797677,58132.30400620222
"""13297""","""Walton""","""Atlanta-Sandy Springs-Alpharetta, GA""",38.0,91442.0,31670.0,209161.3,47,58,51,23,28,25,24,30,26,10.42,2.63,2.17,2,2,25022,24498,24523,1,1,1,16632,16190,16328,12970,12605,12740,3649,3573,3576,12,12,12,15,15,15,1.0,2.5,0.4,0.15,6260,83,6079,84,124,14,3081,1291,1349,960,76,24,68723.9,70200.53514864865,71708.8979984642,73249.67026626905,74823.54831658484,76431.24347636012,78073.48235646028
"""13299""","""Ware""","""Waycross, GA""",33.0,35593.0,13823.0,575502.83,57,69,38,24,31,15,32,39,23,6.96,3.46,1.72,2,2,18550,17779,20160,0,0,0,12459,11905,14227,9745,9303,11279,2706,2594,2940,8,9,8,10,11,10,1.3,2.6,0.21,0.02,3358,64,3644,84,88,6,3947,785,903,543,69,31,23775.56,24286.413248648652,24808.24293872097,25341.28491537727,25885.78009126173,26441.97455538479,27010.119684345085
"""13301""","""Warren""","""""",6.0,5297.0,2244.0,181988.78,64,78,42,28,35,16,37,44,25,8.8,0.59,1.84,2,2,21425,20588,23995,0,0,0,13582,12986,15841,10452,9977,12336,3126,3003,3499,5,5,6,6,6,7,2.1,0.4,0.23,0.01,1685,51,1621,87,153,4,3525,859,953,719,73,27,4128.96,4217.676843243244,4308.299899739957,4400.87012731545,4495.429363834796,4592.020346111788,4690.68672922419
"""13303""","""Washington""","""""",16.0,20436.0,7503.0,434247.96,65,79,43,29,36,18,36,43,25,9.07,1.21,1.86,2,2,21809,20938,23826,0,0,0,13726,13119,15737,10538,10059,12256,3182,3054,3475,6,6,6,7,7,8,1.9,0.9,0.2,0.02,1945,60,2095,87,160,6,3831,920,1043,612,73,27,13955.58,14255.436381081081,14561.73562224215,14874.616157909244,15194.219396977836,15520.689786723713,15854.174878087102
"""13305""","""Wayne""","""Jesup, GA""",23.0,29788.0,10400.0,410838.87,55,67,42,24,31,18,31,37,24,8.84,2.26,1.88,2,2,21919,21104,22731,0,0,0,13894,13322,15176,10689,10236,11854,3198,3079,3315,7,7,7,9,9,9,1.9,1.5,0.21,0.03,2018,62,1951,86,131,6,4174,927,1075,618,68,32,19552.0,19972.103783783787,20401.234121840764,20839.58496310734,21287.354423801135,21744.744876961187,22211.963043912114
"""13307""","""Webster""","""""",2.0,2610.0,1140.0,133987.99,70,85,45,30,37,18,40,48,28,10.5,0.09,2.01,2,2,24904,24128,27652,0,0,0,15043,14429,17502,11405,10904,13464,3633,3520,4033,5,5,6,6,6,8,1.8,0.2,0.13,0.01,1518,52,1245,88,304,4,3931,919,1039,202,87,13,2291.3999999999996,2340.634135135135,2390.926138849525,2442.2987410221026,2494.7751599170374,2548.379112677417,2603.134826044405
"""13309""","""Wheeler""","""""",6.0,7928.0,1862.0,189113.01,77,93,40,25,32,12,51,61,27,8.6,0.2,2.04,2,2,27201,25143,27761,0,0,0,15549,14712,17238,11574,11038,13184,3968,3668,4048,7,6,5,8,8,6,1.3,0.3,0.35,0.01,1289,61,1214,88,258,3,4663,640,747,406,73,27,3798.48,3880.0959891891894,3963.4656192271736,4048.6265696943524,4135.61732977292,4224.477215642366,4315.246388248736
"""13311""","""White""","""""",12.0,29489.0,11695.0,154075.5,57,68,48,26,33,22,30,35,26,10.08,1.27,2.06,2,2,24302,23697,25137,0,0,0,15899,14746,16478,12346,11280,12804,3544,3457,3666,8,8,9,10,10,11,1.2,1.4,0.23,0.08,3473,72,3370,86,146,14,3049,1150,1246,809,81,19,24091.7,24609.34598648649,25138.114366466405,25678.244121097236,26229.979366401894,26793.56946359891,27369.269131803267
"""13313""","""Whitfield""","""Dalton, GA""",71.0,104237.0,35629.0,185879.96,54,65,42,23,29,18,31,36,24,9.05,4.86,1.96,2,2,21891,21071,22142,1,1,0,14937,13837,15248,11734,10753,12009,3192,3074,3229,11,11,10,13,13,12,2.3,2.4,0.61,0.19,5483,63,9057,84,68,19,2779,941,1040,691,69,31,69832.84,71333.30237297298,72866.00441044632,74431.63882953564,76030.9132314135,77664.5504211155,79333.28873421786
"""13315""","""Wilcox""","""""",6.0,8824.0,2575.0,241798.51,67,81,43,26,33,15,41,49,27,10.74,0.13,2.0,2,2,25346,24402,27021,0,0,0,15042,14374,17093,11339,10809,13146,3697,3560,3941,6,5,6,7,7,7,1.0,0.4,0.39,0.01,1427,67,1163,87,302,4,4520,802,890,508,83,17,5150.0,5260.655405405406,5373.688406683712,5489.15009001651,5607.092639247947,5727.569359469626,5850.634701112284
"""13317""","""Wilkes""","""""",11.0,9844.0,3979.0,300480.03,65,80,43,27,33,16,39,46,26,9.29,0.76,1.94,2,2,24505,23655,26576,0,0,0,14576,13978,16643,10995,10521,12762,3575,3451,3876,6,5,6,7,7,8,0.7,0.9,0.22,0.01,1765,74,1715,87,314,4,4862,843,974,588,74,26,7719.26,7885.1197756756765,8054.543295180059,8227.607130846767,8404.389500279827,8584.970301704758,8769.431150079226
"""13319""","""Wilkinson""","""""",9.0,9010.0,3185.0,287496.75,66,80,44,27,34,17,39,47,27,10.73,0.49,2.03,2,2,25849,24842,26805,0,0,0,15319,14649,16979,11542,11019,13063,3771,3624,3909,6,6,6,8,7,8,0.7,0.5,0.19,0.01,1710,66,1739,87,312,4,5198,871,973,521,82,18,6465.549999999999,6604.471952702703,6746.378850064829,6891.334828059465,7039.405400716419,7190.657489731812,7345.159454713888
"""13321""","""Worth""","""Albany, GA""",15.0,20494.0,8002.0,365255.21,57,70,43,25,31,18,33,39,26,8.85,0.59,1.97,2,2,24072,23208,25315,0,0,0,14720,14153,16183,11204,10763,12486,3512,3386,3692,5,5,5,7,6,7,1.6,0.6,0.3,0.02,1709,58,1322,87,205,8,3877,917,1065,587,70,30,15763.94,16102.651683783784,16448.641091584006,16802.06459611939,17163.081930008986,17531.856257964584,17908.554250534366
