county,name,cbsa,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,res_density,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,intersection_density,avg_block_perimeter_meters,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu,registed_car,2020_car,2021_car,2022_car,2023_car,2024_car,2025_car
"""13169""","""Jones""","""Macon-Bibb County, GA""",11.0,28579.0,10701.0,252122.26,66,81,49,32,40,23,34,41,26,10.57,1.35,2.02,2,2,24446,23744,25463,0,0,0,15060,14511,16532,11486,11039,12810,3566,3464,3713,8,8,9,11,10,11,1.0,1.6,0.15,0.04,3404,70,3004,85,214,8,4709,1194,1286,808,82,18,21616.02,22080.472321621623,22554.90409177539,23039.529733747317,23534.568278026487,24040.243461297596,24556.783827560615
"""13171""","""Lamar""","""Atlanta-Sandy Springs-Alpharetta, GA""",12.0,18672.0,6494.0,117440.22,42,52,45,18,23,20,24,29,25,9.51,1.11,2.12,2,2,24520,23928,23945,0,0,0,16271,15771,15938,12687,12274,12439,3576,3490,3492,8,8,7,10,10,9,1.3,1.3,0.35,0.06,3034,74,2826,86,135,11,3253,1042,1181,587,74,26,13767.28,14063.090475675677,14365.25687913952,14673.915776948059,14989.206669993297,15311.27205655126,15640.25749668527
"""13173""","""Lanier""","""Valdosta, GA""",7.0,10380.0,3714.0,125782.94,61,75,43,26,33,17,35,42,26,7.25,0.74,1.95,2,2,23527,22561,24760,0,0,0,14531,13901,16120,11093,10605,12504,3432,3291,3611,5,5,5,7,7,7,1.6,0.5,0.32,0.03,1730,64,1215,87,159,8,3775,914,1050,587,71,29,7242.3,7397.911581081082,7556.866708296203,7719.237222704189,7885.0965089758065,8054.519528560558,8227.582853566117
"""13175""","""Laurens""","""Dublin, GA""",36.0,47405.0,17142.0,516690.33,61,75,41,26,33,16,35,42,24,8.74,1.77,1.85,2,2,21708,20823,22936,0,0,0,13694,13096,15332,10520,10051,11980,3167,3038,3345,7,7,7,9,9,9,1.6,1.9,0.19,0.03,2555,63,3698,85,148,6,4044,850,879,614,71,29,31712.7,32394.094500000003,33090.129773716224,33801.12039993526,34527.38771663658,35269.25996622377,36027.072443876415
"""13177""","""Lee""","""Albany, GA""",13.0,29502.0,10226.0,227725.27,65,80,49,31,39,22,34,41,26,10.94,3.1,2.04,2,2,24566,23835,25624,0,0,0,15156,14644,16568,11564,11160,12823,3584,3477,3737,8,7,8,9,9,10,1.0,1.7,0.31,0.04,3229,76,3289,85,204,4,5437,1172,1264,842,75,25,20861.04,21309.270454054054,21767.131805701978,22234.83098909476,22712.57938467126,23200.59291469325,23699.092140833283
"""13179""","""Liberty""","""Hinesville, GA""",31.0,61349.0,23485.0,330540.59,55,66,44,27,34,22,28,32,23,8.53,6.82,1.8,2,2,20886,20493,21080,1,1,1,13832,12792,14240,10771,9787,11151,3046,2990,3074,16,16,15,19,20,19,2.7,3.1,1.52,0.07,4727,57,3130,83,66,11,3622,1136,1028,1035,54,46,42273.0,43181.29824324325,44109.11262441564,45056.862476751056,46024.97614348125,47013.89117142903,48024.05450876109
"""13181""","""Lincoln""","""Augusta-Richmond County, GA-SC""",7.0,7856.0,3475.0,134643.76,58,70,50,28,35,24,30,35,26,8.77,0.32,2.09,2,2,25299,24564,25436,0,0,0,16211,14982,16494,12514,11392,12778,3689,3583,3709,7,7,7,8,8,8,1.7,0.6,0.15,0.03,2012,63,1669,87,190,8,4662,1238,1424,587,79,21,7262.749999999999,7418.800979729729,7578.204946726625,7741.033944906292,7907.361566154955,8077.262983589907,8250.81498553461
"""13183""","""Long""","""Hinesville, GA""",7.0,18692.0,5695.0,256251.23,58,69,47,26,32,20,32,37,26,11.57,0.66,2.07,2,2,25895,25086,26402,0,0,0,16176,15017,16606,12393,11351,12749,3776,3660,3850,7,6,7,8,8,8,2.0,0.8,0.73,0.02,2354,54,1162,87,206,6,3688,1067,1186,803,74,26,11788.65,12041.94666891892,12300.685793291637,12564.984312363715,12834.961677994233,13110.739908643029,13392.443644517929
"""13185""","""Lowndes""","""Valdosta, GA""",69.0,115364.0,41282.0,318181.35,60,74,42,29,36,19,32,38,23,7.97,6.4,1.8,2,2,20000,19188,21052,1,1,0,13136,12628,14493,10208,9818,11413,2918,2799,3070,11,11,10,13,14,13,1.7,3.4,0.54,0.13,5653,66,7396,83,81,11,3460,993,1051,845,59,41,74307.6,75904.20924324325,77535.12400941565,79201.08140367201,80902.83436896713,82641.15202635441,84416.82002259635
"""13187""","""Lumpkin""","""""",12.0,32402.0,11570.0,181080.94,58,70,49,27,34,22,31,36,26,10.42,1.21,2.08,2,2,25105,24391,25475,0,0,0,16090,14956,16434,12421,11390,12710,3661,3558,3715,9,8,9,11,10,11,1.0,1.7,0.17,0.06,3812,69,3502,85,157,10,3759,1172,1249,904,75,25,24065.600000000002,24582.685189189193,25110.88072230826,25650.42532161191,26201.56283865736,26764.542364514997,27339.61834234715
"""13189""","""McDuffie""","""Augusta-Richmond County, GA-SC""",18.0,21455.0,8153.0,164774.11,50,60,43,21,27,18,29,33,25,9.07,1.56,1.99,2,2,23108,22290,23345,0,0,0,15282,14124,15552,11906,10867,12142,3370,3252,3405,6,6,6,8,8,7,1.7,0.9,0.34,0.05,2405,65,2294,87,105,9,3692,954,1041,703,65,35,16224.47,16573.076855405405,16929.174047298577,17292.922516693237,17664.486662660023,18044.03441662799,18431.73731828257
"""13191""","""McIntosh""","""Brunswick, GA""",10.0,14174.0,6042.0,276066.19,58,70,48,28,34,22,31,36,26,8.97,0.99,2.02,2,2,23914,23300,24983,0,0,0,15586,14430,16296,12092,11024,12645,3487,3399,3643,6,6,7,8,8,8,1.8,1.0,0.52,0.02,1709,58,1169,86,138,7,4097,1165,1242,784,86,14,12204.84,12467.079129729731,12734.952856976628,13008.582249444098,13288.090976155128,13573.605363345489,13865.254451557914
"""13193""","""Macon""","""""",13.0,13305.0,4696.0,256423.31,70,85,40,29,36,15,41,49,25,8.56,0.9,1.79,2,2,20660,19647,23625,0,0,0,13155,12510,15762,10136,9639,12311,3014,2866,3445,5,5,5,6,6,7,1.8,0.4,0.43,0.02,1657,59,1523,87,155,6,3851,774,896,453,71,29,8405.84,8586.451967567567,8770.944651735575,8959.401435468812,9151.907493339022,9348.549830020225,9549.4173196112
"""13195""","""Madison""","""Athens-Clarke County, GA""",16.0,29218.0,10744.0,180687.13,57,69,44,24,30,18,33,38,26,10.22,0.89,2.02,2,2,23762,23086,24835,0,0,0,15569,14435,16338,12096,11059,12707,3465,3368,3622,8,8,9,10,10,11,1.9,1.4,0.18,0.06,3188,68,2871,86,130,14,2990,959,1050,690,77,23,21702.88,22169.19863783784,22645.53682478598,23132.109845750976,23629.13761135563,24136.844757329352,24655.460746034132
"""13197""","""Marion""","""Columbus, GA-AL""",5.0,8432.0,3408.0,234250.46,61,72,47,26,33,20,34,39,27,10.6,0.18,2.08,2,2,26067,25325,27007,0,0,0,16268,15020,17042,12460,11320,13097,3801,3694,3939,6,6,7,8,8,8,1.5,0.4,0.2,0.01,1869,54,1357,88,320,6,4054,1044,1199,488,83,17,7088.64,7240.949967567568,7396.532541195034,7555.458037688279,7717.798284714285,7883.626653264228,8053.018090814095
