county,name,cbsa,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,res_density,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,intersection_density,avg_block_perimeter_meters,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu
"""13127""","""Glynn""","""Brunswick, GA""",54.00,84470.00,34119.00,268512.22,58,69,47,30,38,24,27,32,23,8.02,5.87,1.84,2,2,19933,19330,20844,0,0,0,13894,12870,14495,10981,10044,11449,2904,2817,3036,9,9,9,11,12,12,2.3,3.0,1.15,0.13,4397,64,5303,83,57,17,3823,1273,1353,914,69,31
"""13129""","""Gordon""","""Calhoun, GA""",29.00,57202.00,20561.00,227774.16,58,71,44,26,32,19,32,39,25,9.49,2.57,2.01,2,2,23219,22319,23878,0,0,0,14776,14230,15943,11381,10966,12453,3387,3256,3482,8,8,8,10,10,9,1.3,1.2,0.32,0.09,4151,71,5756,86,118,12,3742,976,1054,698,68,32
"""13131""","""Grady""","""""",17.00,24828.00,9136.00,290880.42,60,73,44,26,33,18,34,41,26,9.28,1.38,2.01,2,2,23615,22588,24686,0,0,0,14832,14228,16244,11382,10928,12639,3445,3295,3600,5,5,5,7,6,6,1.8,0.3,0.23,0.03,2035,63,1882,88,127,9,3198,947,910,727,69,31
"""13133""","""Greene""","""""",19.00,17349.00,7132.00,248104.11,63,76,54,34,42,28,29,34,26,9.23,1.13,2.01,2,2,22751,22160,23970,0,0,0,15343,14180,16111,12019,10941,12608,3318,3233,3496,7,7,7,8,8,9,1.3,1.0,0.24,0.03,2132,73,2226,86,160,6,3915,1477,1604,910,80,20
"""13135""","""Gwinnett""","""Atlanta-Sandy Springs-Alpharetta, GA""",313.00,915046.00,293330.00,275558.28,49,60,53,26,33,29,22,27,24,9.00,13.33,2.05,2,2,20856,20483,20486,2,2,2,15314,14920,15044,12272,11932,12056,3042,2987,2988,0,0,0,0,0,0,2.8,4.3,2.08,1.06,18422,73,25379,82,42,52,1856,1507,1533,1206,68,32
"""13137""","""Habersham""","""Cornelia, GA""",26.00,44626.00,15139.00,177165.02,58,70,47,26,32,21,32,37,26,10.22,1.58,2.11,2,2,24759,23967,24877,0,0,0,16240,15046,16513,12621,11542,12878,3611,3496,3628,8,8,8,10,10,10,1.2,1.2,0.28,0.09,3234,75,3642,86,116,19,3235,1093,1175,659,82,18
"""13139""","""Hall""","""Gainesville, GA""",90.00,198667.00,64352.00,251515.24,51,63,50,25,31,25,26,31,25,9.85,4.97,2.13,2,2,23917,23315,22943,1,1,1,16240,15775,15798,12748,12371,12449,3488,3400,3346,4,4,4,13,13,12,2.0,2.7,0.66,0.26,7157,73,11091,84,67,20,2801,1322,1406,951,73,27
"""13141""","""Hancock""","""Milledgeville, GA""",7.00,8515.00,2974.00,301977.59,58,71,42,25,31,16,34,40,25,7.61,0.20,1.89,2,2,22452,21774,24146,0,0,0,14017,13358,15982,10734,10175,12454,3275,3176,3521,7,7,7,8,8,9,1.3,0.7,0.30,0.01,1757,54,1563,87,252,5,4522,857,991,554,81,19
"""13143""","""Haralson""","""Atlanta-Sandy Springs-Alpharetta, GA""",17.00,29227.00,11259.00,180585.47,41,50,44,17,22,19,24,29,25,9.09,0.95,2.09,2,2,24143,23548,23588,0,0,0,16055,15580,15741,12526,12138,12293,3521,3434,3440,8,8,8,10,10,10,1.6,1.8,0.32,0.06,3368,73,3263,85,98,24,2621,995,1152,656,71,29
"""13145""","""Harris""","""Columbus, GA-AL""",16.00,34105.00,12156.00,296847.22,74,90,57,39,48,29,36,42,28,11.55,0.84,2.19,2,2,26959,26294,27790,0,0,0,17043,15850,17719,13103,12007,13658,3932,3836,4053,8,7,8,9,9,10,0.6,1.3,0.28,0.04,2996,88,2337,86,213,10,3410,1529,1635,533,89,11
