Step,Selected_Site,A_hat,min_Ai,max_Ai,MD,MAD,CV,Gini
2,177,0.0007958476352599112,0.0,0.002398599297048898,0.0018139465618506934,0.0007040137489941383,1.3612313555500755,1.6867413547300103
3,214,0.0006565926303964015,0.0,0.0023444764086849906,0.001759823673486786,0.0005855987862686189,1.1230472225086034,1.6060597946877735
4,1,0.0005554329893791782,0.0,0.0019723841505472008,0.0013877314153489962,0.0005023722592187307,0.9500220488849327,1.5313759817613004
5,15,0.0005067410537607824,0.0,0.0018155179549379846,0.00123086521973978,0.00045739359619562716,0.8667385325564088,1.4909636524932353
