Step,Selected_Site,A_hat,min_Ai,max_Ai,MD,MAD,CV,Gini
2,177,0.003031800515275854,0.0,0.00913752113161485,0.006910272616574072,0.0026819571390252887,1.3612313555500763,1.6867413547300032
3,214,0.002501305258652958,0.0,0.008931338699752345,0.006704090184711567,0.002230852519118548,1.1230472225086034,1.6060597946877735
4,1,0.0021159351976349646,0.0,0.007513844383036956,0.0052865958679961765,0.0019137990827380218,0.9500220488849327,1.5313759817613004
5,15,0.0019304421095648853,0.0,0.006916258875954227,0.004689010360913449,0.001742451795030961,0.8667385325564088,1.4909636524932495
6,87,0.0017999520866762975,0.0,0.005815751603406116,0.003588503088365337,0.0016390638534568133,0.8081505384428742,1.4585783254468367
7,5,0.001689734929406158,0.0,0.005560094678681135,0.0033328461636403565,0.0015246411136639946,0.7586647462082696,1.4311157433754147
8,230,0.0015868403113610012,0.0,0.0053202479710822235,0.0030929994560414445,0.0014123112632177096,0.7124666603860986,1.4058994983919177
9,91,0.0014933886424767413,0.0,0.005122450809858178,0.0028952022948173987,0.0013170991325584004,0.6705083121132528,1.3792684650047704
10,61,0.0013890216761291668,0.0,0.004875922714914694,0.002648674199873915,0.001205116474071898,0.6236491647649545,1.3508723483998892
11,23,0.0013082173815676793,0.0,0.004721666513880533,0.002494417998839754,0.0011148554241696188,0.5873692911829047,1.3287949152333454
12,4,0.0012630421891598675,0.0,0.004561544630107417,0.0023342961150666377,0.0010609528450793778,0.5670863312425386,1.3158887013073866
13,217,0.0012203236843157607,0.0,0.004479384140581056,0.002252135625540277,0.0010160026812990146,0.5479063858724439,1.3041527784435516
14,21,0.001180862629593881,0.0,0.004410871198341028,0.002227248515040779,0.0009728906802114144,0.5301889850276813,1.2931500379899603
15,176,0.001145769067365671,0.0,0.004354187255017159,0.002227248515040779,0.0009307988762642116,0.5144325204970192,1.2831310398600522
16,223,0.0011139507856450374,0.0,0.004305335630215936,0.002227248515040779,0.0009005642948787895,0.5001466060578524,1.2747740658475948
17,8,0.001091935558518714,0.0,0.004935624520485989,0.00270837600544521,0.0008772446926977902,0.4902621109161326,1.2693951774125196
18,215,0.0010717927773376767,0.0,0.004935624520485989,0.00270837600544521,0.0008547515409529701,0.4812183149297343,1.2642423176169473
19,35,0.0010524643644692232,0.0,0.004935624520485989,0.00270837600544521,0.0008432954592761823,0.47254015767070945,1.2542141323150418
20,58,0.0010374607670393602,0.0,0.004935624520485989,0.00270837600544521,0.0008231803871861461,0.46580377539071577,1.2494933527640626
